"","municipality","year","period","treatment","newspaper desert","status","province","id","CSD code","turnout","number of candidates","daily_free_paper_closure","weekly_paper_closure","acclaimed","place","margin_percent","closure","closure_count","first_closure","na","treat_group","t","timetotreat","census_year","Population","Density","delta","CD_UID","PR_UID"
"60","Caledon",2006,0,0,0,0,"Ontario","3521024_2006",3521024,34.7,3,NA,NA,0,1,NA,FALSE,2,FALSE,1,0,1,-4,2006,57050,81.9905482790601,0,"3521","35"
"61","Caledon",2010,0,0,0,0,"Ontario","3521024_2010",3521024,44.57,2,NA,NA,0,1,NA,FALSE,3,FALSE,1,0,1,-3,2011,59460,85.4877216857937,0,"3521","35"
"62","Caledon",2014,0,0,0,0,"Ontario","3521024_2014",3521024,34.25,5,NA,NA,0,1,0.29088785046729,FALSE,4,FALSE,0,0,1,-2,2016,66502,95.6106430739476,0,"3521","35"
"63","Caledon",2018,0,0,0,0,"Ontario","3521024_2018",3521024,32.29,3,NA,NA,0,1,0.146149658217894,FALSE,5,FALSE,0,0,1,-1,2016,66502,95.6106430739476,0,"3521","35"
"64","Calgary",2004,2017,0,0,0,"Alberta","4806016_2004",4806016,19.8,7,NA,NA,0,1,0.735975007119286,FALSE,1,FALSE,0,1,1,-4,2006,988193,1324.74348664848,0,"4806","48"
"65","Calgary",2007,2017,0,0,0,"Alberta","4806016_2007",4806016,32.9,9,NA,NA,0,1,0.441815893357744,FALSE,2,FALSE,0,1,1,-3,2006,988193,1324.74348664848,0,"4806","48"
"66","Calgary",2010,2017,0,0,0,"Alberta","4806016_2010",4806016,53.39,15,NA,NA,0,1,0.0787285718320201,FALSE,3,FALSE,0,1,1,-2,2011,1096833,1291.29398421681,0,"4806","48"
"67","Calgary",2013,2017,0,0,0,"Alberta","4806016_2013",4806016,39.43,9,NA,NA,0,1,0.522387718650148,FALSE,4,FALSE,0,1,1,-1,2011,1096833,1291.29398421681,0,"4806","48"
"68","Calgary",2017,2017,1,0,-1,"Alberta","4806016_2017",4806016,58.1,10,NA,NA,0,1,0.0762262534734496,TRUE,1,TRUE,0,1,2,0,2016,1239220,1459.53656245561,0,"4806","48"
"69","Cambridge",2003,2003,1,0,-1,"Ontario","3530010_2003",3530010,22.06,2,NA,NA,0,1,0.48972262128412,TRUE,1,TRUE,0,1,1,-5,2001,110372,975.764107956345,0,"3530","35"
"70","Cambridge",2006,2003,1,0,-1,"Ontario","3530010_2006",3530010,26.33,5,NA,NA,0,1,0.102215709781981,TRUE,2,FALSE,0,1,1,-4,2006,120371,1040.45789102139,0,"3530","35"
"71","Cambridge",2010,2003,1,0,-1,"Ontario","3530010_2010",3530010,29.11,3,NA,NA,0,1,0.191665957265685,TRUE,3,FALSE,0,1,1,-3,2011,126748,1094.85640008299,0,"3530","35"
"72","Cambridge",2014,2003,1,0,-1,"Ontario","3530010_2014",3530010,29.71,7,NA,NA,0,1,0.414412285883048,TRUE,4,FALSE,0,1,1,-2,2016,129920,1122.18390531573,0,"3530","35"
"73","Cambridge",2018,2003,1,0,-1,"Ontario","3530010_2018",3530010,32.24,5,NA,NA,0,1,0.212427541354446,TRUE,5,FALSE,0,1,1,-1,2016,129920,1122.18390531573,0,"3530","35"
"74","Canmore",2007,2013,0,0,0,"Alberta","4815023_2007",4815023,24.56,1,NA,NA,1,1,NA,FALSE,1,FALSE,1,1,1,-2,2006,12039,174.585263924803,0,"4815","48"
"75","Canmore",2010,2013,0,0,0,"Alberta","4815023_2010",4815023,42.03,2,NA,NA,0,1,0.0607983082209886,FALSE,2,FALSE,0,1,1,-1,2011,12288,178.196663685121,0,"4815","48"
"76","Canmore",2013,2013,1,1,-1,"Alberta","4815023_2013",4815023,37.64,3,NA,NA,0,1,0.573432835820896,TRUE,1,TRUE,0,1,2,0,2011,12288,178.196663685121,0,"4815","48"
"77","Canmore",2017,2013,1,1,-1,"Alberta","4815023_2017",4815023,40.9,2,NA,NA,0,1,0.287777777777778,TRUE,2,FALSE,0,1,2,1,2016,13992,201.341267836984,0,"4815","48"
"78","Cape Breton",2004,0,0,0,0,"Nova Scotia","1217030_2004",1217030,NA,NA,NA,NA,NA,1,NA,FALSE,1,FALSE,3,0,1,-5,2006,102250,39.9117295405087,0,"1217","12"
"79","Cape Breton",2008,0,0,0,0,"Nova Scotia","1217030_2008",1217030,50.4,3,NA,NA,0,1,NA,FALSE,2,FALSE,1,0,1,-4,2006,102250,39.9117295405087,0,"1217","12"
"80","Cape Breton",2012,0,0,0,0,"Nova Scotia","1217030_2012",1217030,56.9,5,NA,NA,0,1,0.207670838971583,FALSE,3,FALSE,0,0,1,-3,2011,97398,38.0138025096822,0,"1217","12"
"81","Cape Breton",2016,0,0,0,0,"Nova Scotia","1217030_2016",1217030,53.3,2,NA,NA,0,1,0.0306887090452145,FALSE,4,FALSE,0,0,1,-2,2016,94285,36.8553649364019,0,"1217","12"
"82","Cape Breton",2020,0,0,0,0,"Nova Scotia","1217030_2020",1217030,NA,6,NA,NA,0,1,0.0691912658277471,FALSE,5,FALSE,1,0,1,-1,2021,93694,38.7213947008796,0,"1217","12"
"83","Chatham-Kent",2003,0,0,0,0,"Ontario","3536020_2003",3536020,44,6,NA,NA,0,1,0.292371145284204,FALSE,1,FALSE,0,0,1,-5,2001,107341,43.6148856597477,0,"3536","35"
"84","Chatham-Kent",2006,0,0,0,0,"Ontario","3536020_2006",3536020,45.6,7,NA,NA,0,1,0.0685599150488741,FALSE,2,FALSE,0,0,1,-4,2006,108177,43.7117913022736,0,"3536","35"
"85","Chatham-Kent",2010,0,0,0,0,"Ontario","3536020_2010",3536020,39.93,6,NA,NA,0,1,0.0683066855978764,FALSE,3,FALSE,0,0,1,-3,2011,103671,41.8864637684977,0,"3536","35"
"86","Chatham-Kent",2014,0,0,0,0,"Ontario","3536020_2014",3536020,42.11,7,NA,NA,0,1,0.0414239087331849,FALSE,4,FALSE,0,0,1,-2,2016,101647,41.0710276040847,0,"3536","35"
"87","Chatham-Kent",2018,0,0,0,0,"Ontario","3536020_2018",3536020,45.44,6,NA,NA,0,1,0.289758654455389,FALSE,5,FALSE,0,0,1,-1,2016,101647,41.0710276040847,0,"3536","35"
"88","Chilliwack",2002,2018,0,0,0,"British Columbia","5909020_2002",5909020,NA,2,NA,NA,0,1,NA,FALSE,1,FALSE,2,1,1,-5,2001,62927,244.550424506156,0,"5909","59"
"89","Chilliwack",2005,2018,0,0,0,"British Columbia","5909020_2005",5909020,NA,1,NA,NA,1,1,NA,FALSE,2,FALSE,2,1,1,-4,2006,69217,246.272038646959,0,"5909","59"
"90","Chilliwack",2008,2018,0,0,0,"British Columbia","5909020_2008",5909020,22.21,3,NA,NA,0,1,0.519670703712499,FALSE,3,FALSE,0,1,1,-3,2006,69217,246.272038646959,0,"5909","59"
"91","Chilliwack",2011,2018,0,0,0,"British Columbia","5909020_2011",5909020,17.5,1,NA,NA,1,1,NA,FALSE,4,FALSE,1,1,1,-2,2011,77936,276.956728283047,0,"5909","59"
"92","Chilliwack",2014,2018,0,0,0,"British Columbia","5909020_2014",5909020,25,3,NA,NA,0,1,0.498695041156394,FALSE,5,FALSE,0,1,1,-1,2016,83788,297.600865623982,0,"5909","59"
"93","Chilliwack",2018,2018,1,0,-1,"British Columbia","5909020_2018",5909020,35,5,NA,NA,0,1,0.0407237987288993,TRUE,1,TRUE,0,1,2,0,2016,83788,297.600865623982,0,"5909","59"
"94","Clarington",2003,0,0,0,0,"Ontario","3518017_2003",3518017,35.07,2,NA,NA,0,1,0.758659277416605,FALSE,1,FALSE,0,0,1,-5,2001,69834,113.970611357109,0,"3518","35"
"95","Clarington",2006,0,0,0,0,"Ontario","3518017_2006",3518017,40.02,5,NA,NA,0,1,0.229256972722098,FALSE,2,FALSE,0,0,1,-4,2006,77820,126.940265731226,0,"3518","35"
"96","Clarington",2010,0,0,0,0,"Ontario","3518017_2010",3518017,34.52,4,NA,NA,0,1,0.0388061203946044,FALSE,3,FALSE,0,0,1,-3,2011,84548,137.906536433493,0,"3518","35"
"97","Clarington",2014,0,0,0,0,"Ontario","3518017_2014",3518017,30.35,2,NA,NA,0,1,0.0715636822194199,FALSE,4,FALSE,0,0,1,-2,2016,92013,150.060411167777,0,"3518","35"
"98","Clarington",2018,0,0,0,0,"Ontario","3518017_2018",3518017,28.57,3,NA,NA,0,1,0.388050112431738,FALSE,5,FALSE,0,0,1,-1,2016,92013,150.060411167777,0,"3518","35"
"99","Coquitlam",2002,0,0,0,0,"British Columbia","5915034_2002",5915034,27.7,3,NA,NA,0,1,0.258250360072641,FALSE,1,FALSE,0,0,1,-6,2001,112890,923.492417105159,0,"5915","59"
"100","Coquitlam",2005,0,0,0,0,"British Columbia","5915034_2005",5915034,23.32,3,NA,NA,0,1,0.00287913183101711,FALSE,2,FALSE,0,0,1,-5,2006,114565,882.768443206855,0,"5915","59"
"101","Coquitlam",2008,0,0,0,0,"British Columbia","5915034_2008",5915034,21.46,3,NA,NA,0,1,0.0857497928748964,FALSE,3,FALSE,0,0,1,-4,2006,114565,882.768443206855,0,"5915","59"
"102","Coquitlam",2011,0,0,0,0,"British Columbia","5915034_2011",5915034,21.68,2,NA,NA,0,1,0.136907744557653,FALSE,4,FALSE,0,0,1,-3,2011,126456,975.012265141715,0,"5915","59"
"103","Coquitlam",2014,0,0,0,0,"British Columbia","5915034_2014",5915034,26.01,3,NA,NA,0,1,0.422840769545641,FALSE,5,FALSE,0,0,1,-2,2016,139284,1073.91148534162,0,"5915","59"
