mun_c,mun_n,reg_c,reg_n,arr_c,dist_n,arr_n,poste_c,type_poste_c,type_poste_d,nom,prenom,sexe,sortant,parti_n,nb_electeurs_maire,nb_votes_candidat,nb_votes_rejetes,statut_candidat_d
47030,Warden,16,Montérégie,,,,6,C,Conseiller,Roberge,Daniel,M,Sortant,,,0,,Élu sans opposition
47035,Shefford,16,Montérégie,,,,0,M,Maire,Chagnon,Éric,M,Sortant (autre poste),,0,0,,Élu sans opposition
47035,Shefford,16,Montérégie,,,,1,C,Conseiller,Vanier,Stéphane,M,Nouveau,,0,367,40,Non élu
47035,Shefford,16,Montérégie,,,,1,C,Conseiller,Papineau,Denise,F,Sortant,,0,740,40,Élu
47035,Shefford,16,Montérégie,,,,2,C,Conseiller,Boisvert,Johanne,F,Sortant,,0,0,,Élu sans opposition
47035,Shefford,16,Montérégie,,,,3,C,Conseiller,Ostiguy,Jérôme,M,Sortant,,0,0,,Élu sans opposition
47035,Shefford,16,Montérégie,,,,4,C,Conseiller,Martin,Pierre,M,Sortant,,0,522,35,Non élu
47035,Shefford,16,Montérégie,,,,4,C,Conseiller,Perron,Geneviève,F,Nouveau,,0,590,35,Élu
47035,Shefford,16,Montérégie,,,,5,C,Conseiller,Sabbagh,Mariam,F,Nouveau,,0,294,44,Non élu
47035,Shefford,16,Montérégie,,,,5,C,Conseiller,Langlois,Francine,F,Nouveau,,0,807,44,Élu
47035,Shefford,16,Montérégie,,,,6,C,Conseiller,Vautour,Michael,M,Sortant,,0,0,,Élu sans opposition
47040,Saint-Joachim-de-Shefford,16,Montérégie,,,,0,M,Maire,Beauregard,René,M,Sortant,,,0,,Élu sans opposition
47040,Saint-Joachim-de-Shefford,16,Montérégie,,,,1,C,Conseiller,Vallières Juteau,Francine,F,Nouveau,,,0,,Élu sans opposition
47040,Saint-Joachim-de-Shefford,16,Montérégie,,,,2,C,Conseiller,Daigle,Pierre,M,Sortant,,,0,,Élu sans opposition
47040,Saint-Joachim-de-Shefford,16,Montérégie,,,,3,C,Conseiller,Blanchard,Caroline,F,Sortant,,,94,5,Non élu
47040,Saint-Joachim-de-Shefford,16,Montérégie,,,,3,C,Conseiller,Beauregard,Sophie,F,Nouveau,,,258,5,Élu
47040,Saint-Joachim-de-Shefford,16,Montérégie,,,,4,C,Conseiller,Marois,Christian,M,Sortant,,,0,,Élu sans opposition
47040,Saint-Joachim-de-Shefford,16,Montérégie,,,,5,C,Conseiller,Lamoureux,François,M,Sortant,,,0,,Élu sans opposition
47040,Saint-Joachim-de-Shefford,16,Montérégie,,,,6,C,Conseiller,Desabrais,Johanne,F,Sortant,,,0,,Élu sans opposition
47047,Roxton Pond,16,Montérégie,,,,0,M,Maire,Bédard,Luc,M,Nouveau,,3037,201,28,Non élu
47047,Roxton Pond,16,Montérégie,,,,0,M,Maire,Gareau,Chantal,F,Nouveau,,3037,577,28,Non élu
47047,Roxton Pond,16,Montérégie,,,,0,M,Maire,Fontaine,Pierre,M,Sortant (autre poste),,3037,882,28,Élu
47047,Roxton Pond,16,Montérégie,,1,,1,C,Conseiller,Cyr,Guy,M,Nouveau,,3037,105,8,Non élu
47047,Roxton Pond,16,Montérégie,,1,,1,C,Conseiller,Côté,André,M,Sortant,,3037,212,8,Élu
47047,Roxton Pond,16,Montérégie,,2,,2,C,Conseiller,Papineau,Pierre,M,Sortant,,3037,69,14,Non élu
47047,Roxton Pond,16,Montérégie,,2,,2,C,Conseiller,Choinière,Christiane,F,Nouveau,,3037,132,14,Élu
47047,Roxton Pond,16,Montérégie,,3,,3,C,Conseiller,Poudrier,Guylaine,F,Nouveau,,3037,81,10,Non élu
47047,Roxton Pond,16,Montérégie,,3,,3,C,Conseiller,Bouchard,Serge,M,Nouveau,,3037,155,10,Élu
47047,Roxton Pond,16,Montérégie,,4,,4,C,Conseiller,Lamontagne,Pascal,M,Sortant,,3037,0,,Élu sans opposition
47047,Roxton Pond,16,Montérégie,,5,,5,C,Conseiller,Desrosiers,Patricia,F,Nouveau,,3037,101,6,Non élu
47047,Roxton Pond,16,Montérégie,,5,,5,C,Conseiller,Hainault,Sylvain,M,Sortant,,3037,170,6,Élu
47047,Roxton Pond,16,Montérégie,,6,,6,C,Conseiller,Brosseau,Sylvain,M,Nouveau,,3037,114,12,Non élu
47047,Roxton Pond,16,Montérégie,,6,,6,C,Conseiller,Lavoie,Luc (Papou),M,Nouveau,,3037,15,12,Non élu
47047,Roxton Pond,16,Montérégie,,6,,6,C,Conseiller,Brasseur,Philippe,M,Nouveau,,3037,198,12,Élu
47055,Sainte-Cécile-de-Milton,16,Montérégie,,,,0,M,Maire,GÉVRY,GERMAIN,M,Nouveau,,1594,203,14,Non élu
47055,Sainte-Cécile-de-Milton,16,Montérégie,,,,0,M,Maire,ROY,STEVE,M,Nouveau,,1594,87,14,Non élu
47055,Sainte-Cécile-de-Milton,16,Montérégie,,,,0,M,Maire,SARRAZIN,PAUL,M,Sortant,,1594,441,14,Élu
47055,Sainte-Cécile-de-Milton,16,Montérégie,,,,1,C,Conseiller,BOULANGER DENIS,GINETTE,F,Nouveau,,1594,261,48,Non élu
47055,Sainte-Cécile-de-Milton,16,Montérégie,,,,1,C,Conseiller,PRIEUR,GINETTE,F,Nouveau,,1594,434,48,Élu
47055,Sainte-Cécile-de-Milton,16,Montérégie,,,,2,C,Conseiller,LEBRUN,JANIQUE,F,Nouveau,,1594,296,20,Non élu
47055,Sainte-Cécile-de-Milton,16,Montérégie,,,,2,C,Conseiller,ROY,SYLVAIN,M,Sortant,,1594,429,20,Élu
47055,Sainte-Cécile-de-Milton,16,Montérégie,,,,3,C,Conseiller,BERNIER,PIERRE,M,Nouveau,,1594,283,23,Non élu
47055,Sainte-Cécile-de-Milton,16,Montérégie,,,,3,C,Conseiller,FEHLMANN,JOHANNA,F,Sortant,,1594,439,23,Élu
47055,Sainte-Cécile-de-Milton,16,Montérégie,,,,4,C,Conseiller,LUSSIER MEUNIER,JACQUELINE,F,Sortant,,1594,0,,Élu sans opposition
47055,Sainte-Cécile-de-Milton,16,Montérégie,,,,5,C,Conseiller,LUSSIER,CLAUDE,M,Sortant,,1594,0,,Élu sans opposition
47055,Sainte-Cécile-de-Milton,16,Montérégie,,,,6,C,Conseiller,GOYETTE,SYLVAIN,M,Sortant,,1594,0,,Élu sans opposition
48005,Béthanie,16,Montérégie,,,,0,M,Maire,Dalle-Vedove,Boniface,M,Sortant,,,0,,Élu sans opposition
48005,Béthanie,16,Montérégie,,,,1,C,Conseiller,Racicot,Mélanie,F,Nouveau,,,0,,Désistement
48005,Béthanie,16,Montérégie,,,,1,C,Conseiller,Demers,Bernard,M,Nouveau,,,0,,Élu sans opposition
48005,Béthanie,16,Montérégie,,,,2,C,Conseiller,Demers,Michel,M,Sortant,,,0,,Élu sans opposition
48005,Béthanie,16,Montérégie,,,,3,C,Conseiller,Privé,Ghislain,M,Sortant,,,0,,Élu sans opposition
48005,Béthanie,16,Montérégie,,,,4,C,Conseiller,Guillemette,Yves,M,Nouveau,,,0,,Élu sans opposition
48005,Béthanie,16,Montérégie,,,,5,C,Conseiller,Blanchard,Yvon,M,Sortant,,,0,,Élu sans opposition
48005,Béthanie,16,Montérégie,,,,6,C,Conseiller,Côté,Michel,M,Sortant,,,0,,Élu sans opposition
48010,Roxton Falls,16,Montérégie,,,,0,M,Maire,Laplante,Jean-Marie,M,Sortant,,,0,,Élu sans opposition
48010,Roxton Falls,16,Montérégie,,,,1,C,Conseiller,Roy,Daniel,M,Sortant,,,0,,Élu sans opposition
48010,Roxton Falls,16,Montérégie,,,,2,C,Conseiller,Desparts,Jul,M,Nouveau,,,0,,Désistement
48010,Roxton Falls,16,Montérégie,,,,2,C,Conseiller,Bonneau,Marcel,M,Sortant,,,0,,Élu sans opposition
48010,Roxton Falls,16,Montérégie,,,,3,C,Conseiller,Massé,Michel,M,Nouveau,,,0,,Élu sans opposition
48010,Roxton Falls,16,Montérégie,,,,4,C,Conseiller,Cusson,Lynda,F,Sortant,,,0,,Élu sans opposition
48010,Roxton Falls,16,Montérégie,,,,5,C,Conseiller,Valois,Mélanie,F,Nouveau,,,0,,Élu sans opposition
48010,Roxton Falls,16,Montérégie,,,,6,C,Conseiller,Massé,Marie-Eve,F,Sortant (autre poste),,,0,,Élu sans opposition
48015,Roxton,16,Montérégie,,,,0,M,Maire,Bachand,Gabriel,M,Nouveau,,848,125,9,Non élu
48015,Roxton,16,Montérégie,,,,0,M,Maire,Beauchemin,Stéphane,M,Sortant,,848,407,9,Élu
48015,Roxton,16,Montérégie,,,,1,C,Conseiller,Ducharme,Gilles,M,Sortant,,848,194,23,Non élu
48015,Roxton,16,Montérégie,,,,1,C,Conseiller,Richard,Pascal,M,Nouveau,,848,324,23,Élu
48015,Roxton,16,Montérégie,,,,2,C,Conseiller,Daviau,Conrad,M,Sortant,,848,185,16,Non élu
48015,Roxton,16,Montérégie,,,,2,C,Conseiller,Beauregard,Stéphane,M,Nouveau,,848,340,16,Élu
48015,Roxton,16,Montérégie,,,,3,C,Conseiller,Ferland,Diane,F,Sortant,,848,0,,Élu sans opposition
48015,Roxton,16,Montérégie,,,,4,C,Conseiller,Légaré,François,M,Sortant,,848,0,,Élu sans opposition
48015,Roxton,16,Montérégie,,,,5,C,Conseiller,Bédard,Bernard,M,Sortant,,848,0,,Élu sans opposition
48015,Roxton,16,Montérégie,,,,6,C,Conseiller,Beauregard,Éric,M,Sortant,,848,0,,Élu sans opposition
48020,Sainte-Christine,16,Montérégie,,,,0,M,Maire,Benoît,Patrick,M,Sortant (autre poste),,589,114,8,Non élu
48020,Sainte-Christine,16,Montérégie,,,,0,M,Maire,Ménard,Jean-Marc,M,Sortant (autre poste),,589,260,8,Élu
48020,Sainte-Christine,16,Montérégie,,,,1,C,Conseiller,Roy,Normand,M,Nouveau,,589,0,,Élu sans opposition
48020,Sainte-Christine,16,Montérégie,,,,2,C,Conseiller,Dufault,Simon,M,Sortant,,589,0,,Élu sans opposition
48020,Sainte-Christine,16,Montérégie,,,,3,C,Conseiller,Chabot,Serge,M,Nouveau,,589,0,,Élu sans opposition
48020,Sainte-Christine,16,Montérégie,,,,4,C,Conseiller,Trudeau,Martin,M,Nouveau,,589,143,15,Non élu
48020,Sainte-Christine,16,Montérégie,,,,4,C,Conseiller,Tétreault,Michel,M,Nouveau,,589,224,15,Élu
48020,Sainte-Christine,16,Montérégie,,,,5,C,Conseiller,Laflamme,Nancy,F,Nouveau,,589,128,22,Non élu
48020,Sainte-Christine,16,Montérégie,,,,5,C,Conseiller,Brasseur,Francine,F,Nouveau,,589,232,22,Élu
48020,Sainte-Christine,16,Montérégie,,,,6,C,Conseiller,Grenier,Gilbert,M,Sortant,,589,0,,Élu sans opposition
48028,Acton Vale,16,Montérégie,,,,0,M,Maire,Charbonneau,Éric,M,Sortant,,0,0,,Élu sans opposition
48028,Acton Vale,16,Montérégie,,1,,1,C,Conseiller,Arcouette,Yves,M,Sortant,,0,0,,Élu sans opposition
48028,Acton Vale,16,Montérégie,,2,,2,C,Conseiller,Dumont,Patrice,M,Sortant (autre poste),,0,198,3,Non élu
48028,Acton Vale,16,Montérégie,,2,,2,C,Conseiller,Ledoux,Suzanne,F,Sortant,,0,267,3,Élu
48028,Acton Vale,16,Montérégie,,3,,3,C,Conseiller,Bisaaillon,Raymond,M,Sortant,,0,0,,Élu sans opposition
48028,Acton Vale,16,Montérégie,,4,,4,C,Conseiller,Robert,Yvon,M,Sortant,,0,151,1,Non élu
48028,Acton Vale,16,Montérégie,,4,,4,C,Conseiller,Gagnon,Annie,F,Nouveau,,0,309,1,Élu
48028,Acton Vale,16,Montérégie,,5,,5,C,Conseiller,Lavallée,Bruno,M,Sortant,,0,0,,Élu sans opposition
48028,Acton Vale,16,Montérégie,,6,,6,C,Conseiller,Dumont,Patrice,M,Sortant,,0,0,7,Désistement
48028,Acton Vale,16,Montérégie,,6,,6,C,Conseiller,Durand,Denis,M,Nouveau,,0,117,7,Non élu
48028,Acton Vale,16,Montérégie,,6,,6,C,Conseiller,Lajoie,Pierrette,F,Nouveau,,0,197,7,Élu
48038,Upton,16,Montérégie,,,,0,M,Maire,Lapointe,Guy,M,Sortant (autre poste),,,0,,Élu sans opposition
48038,Upton,16,Montérégie,,,,1,C,Conseiller,Bernier,Michel,M,Nouveau,,,0,,Désistement
48038,Upton,16,Montérégie,,,,1,C,Conseiller,Joubert,Alain,M,Nouveau,,,0,,Élu sans opposition
48038,Upton,16,Montérégie,,,,2,C,Conseiller,Lavoie,Nathalie,F,Nouveau,,,0,,Élu sans opposition
48038,Upton,16,Montérégie,,,,3,C,Conseiller,Sabourin,Richard,M,Sortant,,,0,,Désistement
48038,Upton,16,Montérégie,,,,3,C,Conseiller,Phaneuf,Ghyslain,M,Nouveau,,,0,,Élu sans opposition
48038,Upton,16,Montérégie,,,,4,C,Conseiller,Larocque,Claude,M,Sortant,,,0,,Élu sans opposition
48038,Upton,16,Montérégie,,,,5,C,Conseiller,Beugger,Barbara,F,Sortant,,,0,,Élu sans opposition
48038,Upton,16,Montérégie,,,,6,C,Conseiller,Beaudry,Mathieu,M,Nouveau,,,0,,Élu sans opposition
48045,Saint-Théodore-d'Acton,16,Montérégie,,,,0,M,Maire,Bond,Guy,M,Sortant,,0,0,,Élu sans opposition
48045,Saint-Théodore-d'Acton,16,Montérégie,,,,1,C,Conseiller,Champigny,Éloi,M,Nouveau,,0,0,,Élu sans opposition
48045,Saint-Théodore-d'Acton,16,Montérégie,,,,2,C,Conseiller,Desmarais,Mathieu,M,Sortant,,0,0,,Élu sans opposition
48045,Saint-Théodore-d'Acton,16,Montérégie,,,,3,C,Conseiller,Laplante,Michaël,M,Sortant (autre poste),,0,105,12,Non élu
48045,Saint-Théodore-d'Acton,16,Montérégie,,,,3,C,Conseiller,Laliberté,Éric,M,Sortant,,0,246,12,Élu
48045,Saint-Théodore-d'Acton,16,Montérégie,,,,4,C,Conseiller,Dufort,Pierre,M,Sortant,,0,0,,Élu sans opposition
48045,Saint-Théodore-d'Acton,16,Montérégie,,,,5,C,Conseiller,Couture,Tony,M,Sortant,,0,139,16,Non élu
48045,Saint-Théodore-d'Acton,16,Montérégie,,,,5,C,Conseiller,Fortier,Philippe,M,Nouveau,,0,208,16,Élu
48045,Saint-Théodore-d'Acton,16,Montérégie,,,,6,C,Conseiller,Daigneault,Diane,F,Sortant,,0,0,,Élu sans opposition
48050,Saint-Nazaire-d'Acton,16,Montérégie,,,,0,M,Maire,Laflamme,Pierre,M,Sortant (autre poste),,,0,,Élu sans opposition
48050,Saint-Nazaire-d'Acton,16,Montérégie,,,,1,C,Conseiller,Lauzier,Vicky,F,Nouveau,,,0,,Élu sans opposition
48050,Saint-Nazaire-d'Acton,16,Montérégie,,,,2,C,Conseiller,Collard,Jean,M,Sortant,,,0,,Élu sans opposition
48050,Saint-Nazaire-d'Acton,16,Montérégie,,,,3,C,Conseiller,Collard,Roger,M,Sortant,,,0,,Élu sans opposition
48050,Saint-Nazaire-d'Acton,16,Montérégie,,,,4,C,Conseiller,Salvas,Patrick,M,Sortant,,,0,,Élu sans opposition
48050,Saint-Nazaire-d'Acton,16,Montérégie,,,,5,C,Conseiller,Roy,Philippe,M,Nouveau,,,0,,Élu sans opposition
48050,Saint-Nazaire-d'Acton,16,Montérégie,,,,6,C,Conseiller,Fafard,Sylvie,F,Nouveau,,,0,,Élu sans opposition
49005,Saint-Félix-de-Kingsey,17,Centre-du-Québec,,,,0,M,Maire,Leblanc,Marc,M,Nouveau,,1222,186,3,Non élu
49005,Saint-Félix-de-Kingsey,17,Centre-du-Québec,,,,0,M,Maire,Francoeur,Thérèse,F,Sortant,,1222,479,3,Élu
49005,Saint-Félix-de-Kingsey,17,Centre-du-Québec,,,,1,C,Conseiller,Provencher,Éric,M,Sortant,,1222,0,,Élu sans opposition
49005,Saint-Félix-de-Kingsey,17,Centre-du-Québec,,,,2,C,Conseiller,Beard,Douglas,M,Sortant,,1222,0,,Élu sans opposition
49005,Saint-Félix-de-Kingsey,17,Centre-du-Québec,,,,3,C,Conseiller,Lauzière,Simon,M,Sortant,,1222,0,,Élu sans opposition
49005,Saint-Félix-de-Kingsey,17,Centre-du-Québec,,,,4,C,Conseiller,Girardin,Christian,M,Sortant,,1222,0,,Élu sans opposition
49005,Saint-Félix-de-Kingsey,17,Centre-du-Québec,,,,5,C,Conseiller,Dandurand,Suzanne,F,Sortant,,1222,0,,Élu sans opposition
49005,Saint-Félix-de-Kingsey,17,Centre-du-Québec,,,,6,C,Conseiller,De Plaen,Jean-François,M,Sortant,,1222,0,,Élu sans opposition
49015,Durham-Sud,17,Centre-du-Québec,,,,0,M,Maire,Manseau,Benoit,M,Nouveau,,800,210,3,Non élu
49015,Durham-Sud,17,Centre-du-Québec,,,,0,M,Maire,Noël,Michel,M,Sortant,,800,251,3,Élu
49015,Durham-Sud,17,Centre-du-Québec,,,,1,C,Conseiller,Desmarais,Rémi,M,Sortant,,800,0,,Élu sans opposition
49015,Durham-Sud,17,Centre-du-Québec,,,,2,C,Conseiller,Beaulac,Jean-Marie,M,Nouveau,,800,0,,Élu sans opposition
49015,Durham-Sud,17,Centre-du-Québec,,,,3,C,Conseiller,Seyer,Raynald,M,Sortant,,800,226,7,Non élu
49015,Durham-Sud,17,Centre-du-Québec,,,,3,C,Conseiller,Carroll,Lise,F,Nouveau,,800,231,7,Élu
49015,Durham-Sud,17,Centre-du-Québec,,,,4,C,Conseiller,Chabot,François,M,Nouveau,,800,0,,Élu sans opposition
49015,Durham-Sud,17,Centre-du-Québec,,,,5,C,Conseiller,Courchesne,Christophe,M,Nouveau,,800,227,6,Non élu
49015,Durham-Sud,17,Centre-du-Québec,,,,5,C,Conseiller,Laflamme,François,M,Sortant,,800,231,6,Élu
49015,Durham-Sud,17,Centre-du-Québec,,,,6,C,Conseiller,Lemieux,Jean-François,M,Nouveau,,800,215,8,Non élu
49015,Durham-Sud,17,Centre-du-Québec,,,,6,C,Conseiller,Manseau,Louis,M,Sortant,,800,241,8,Élu
49020,Lefebvre,17,Centre-du-Québec,,,,0,M,Maire,Ricard Lallemand,Pierre,M,Nouveau,,,0,,Désistement
49020,Lefebvre,17,Centre-du-Québec,,,,0,M,Maire,Parenteau,François,M,Sortant (autre poste),,,0,,Élu sans opposition
49020,Lefebvre,17,Centre-du-Québec,,,,1,C,Conseiller,Bessette,Luc,M,Sortant,,,0,,Élu sans opposition
49020,Lefebvre,17,Centre-du-Québec,,,,2,C,Conseiller,Laflamme,Rachel,F,Sortant,,,0,,Élu sans opposition
49020,Lefebvre,17,Centre-du-Québec,,,,3,C,Conseiller,Laroche,Denis,M,Sortant,,,0,,Élu sans opposition
49020,Lefebvre,17,Centre-du-Québec,,,,4,C,Conseiller,Lacharité,Lina,F,Sortant,,,0,,Élu sans opposition
49020,Lefebvre,17,Centre-du-Québec,,,,5,C,Conseiller,Tessier,Roger,M,Sortant,,,0,,Élu sans opposition
49020,Lefebvre,17,Centre-du-Québec,,,,6,C,Conseiller,Tessier,André,M,Nouveau,,,0,,Élu sans opposition
49025,L'Avenir,17,Centre-du-Québec,,,,0,M,Maire,Vallières,François,M,Sortant (autre poste),,1097,305,12,Non élu
49025,L'Avenir,17,Centre-du-Québec,,,,0,M,Maire,Parenteau,Jean,M,Sortant,,1097,351,12,Élu
49025,L'Avenir,17,Centre-du-Québec,,,,1,C,Conseiller,Arpin,Charles,M,Nouveau,,1097,150,29,Non élu
49025,L'Avenir,17,Centre-du-Québec,,,,1,C,Conseiller,Lavallée,Pierre,M,Sortant,,1097,489,29,Élu
49025,L'Avenir,17,Centre-du-Québec,,,,2,C,Conseiller,Gagnon,Julie,F,Sortant,,1097,0,,Élu sans opposition
49025,L'Avenir,17,Centre-du-Québec,,,,3,C,Conseiller,Lamothe,Daniel,M,Nouveau,,1097,133,47,Non élu
49025,L'Avenir,17,Centre-du-Québec,,,,3,C,Conseiller,Fréchette,François,M,Nouveau,,1097,488,47,Élu
49025,L'Avenir,17,Centre-du-Québec,,,,4,C,Conseiller,Drouin,Mike,M,Nouveau,,1097,0,,Élu sans opposition
49025,L'Avenir,17,Centre-du-Québec,,,,5,C,Conseiller,Vigeant,Alain Serge,M,Sortant,,1097,255,40,Non élu
49025,L'Avenir,17,Centre-du-Québec,,,,5,C,Conseiller,Bélisle,Michel,M,Nouveau,,1097,373,40,Élu
49025,L'Avenir,17,Centre-du-Québec,,,,6,C,Conseiller,Bahl,Martin,M,Sortant,,1097,0,,Élu sans opposition
49030,Saint-Lucien,17,Centre-du-Québec,,,,0,M,Maire,Croteau,Dominique,M,Nouveau,,1475,145,12,Non élu
49030,Saint-Lucien,17,Centre-du-Québec,,,,0,M,Maire,Bourgeois,Diane,F,Sortant (autre poste),,1475,555,12,Élu
49030,Saint-Lucien,17,Centre-du-Québec,,,,1,C,Conseiller,Cusson,Louise,F,Nouveau,,1475,0,,Élu sans opposition
49030,Saint-Lucien,17,Centre-du-Québec,,,,2,C,Conseiller,Breton,Raymond,M,Nouveau,,1475,0,,Élu sans opposition
49030,Saint-Lucien,17,Centre-du-Québec,,,,3,C,Conseiller,Lampron,Sylvie,F,Sortant,,1475,308,37,Non élu
49030,Saint-Lucien,17,Centre-du-Québec,,,,3,C,Conseiller,Joyal,Maryse,F,Nouveau,,1475,369,37,Élu
49030,Saint-Lucien,17,Centre-du-Québec,,,,4,C,Conseiller,Sylvain,Richard,M,Nouveau,,1475,0,,Élu sans opposition
49030,Saint-Lucien,17,Centre-du-Québec,,,,5,C,Conseiller,Côté,Michel,M,Nouveau,,1475,0,,Élu sans opposition
49030,Saint-Lucien,17,Centre-du-Québec,,,,6,C,Conseiller,Lévesque,Julie,F,Nouveau,,1475,0,,Élu sans opposition
49040,Wickham,17,Centre-du-Québec,,,,0,M,Maire,Côté,Carole,F,Sortant,,,0,,Élu sans opposition
49040,Wickham,17,Centre-du-Québec,,,,1,C,Conseiller,Leroux,Guy,M,Sortant,,,0,,Élu sans opposition
49040,Wickham,17,Centre-du-Québec,,,,2,C,Conseiller,Poirier Boilard,Philippe,M,Nouveau,,,218,11,Non élu
49040,Wickham,17,Centre-du-Québec,,,,2,C,Conseiller,Giroux,Chantale,F,Sortant,,,305,11,Élu
49040,Wickham,17,Centre-du-Québec,,,,3,C,Conseiller,Lacharité,Ian,M,Sortant,,,0,,Élu sans opposition
49040,Wickham,17,Centre-du-Québec,,,,4,C,Conseiller,Massé,Bertrand,M,Sortant,,,0,,Élu sans opposition
49040,Wickham,17,Centre-du-Québec,,,,5,C,Conseiller,Côté,Raymonde,F,Sortant,,,0,,Élu sans opposition
49040,Wickham,17,Centre-du-Québec,,,,6,C,Conseiller,Racine,Stéphane,M,Nouveau,,,175,11,Non élu
49040,Wickham,17,Centre-du-Québec,,,,6,C,Conseiller,Côté,Pierre,M,Sortant,,,347,11,Élu
49048,Saint-Germain-de-Grantham,17,Centre-du-Québec,,,,0,M,Maire,Houle,Gislain,M,Nouveau,,3717,228,33,Non élu
49048,Saint-Germain-de-Grantham,17,Centre-du-Québec,,,,0,M,Maire,Lambert,Michel,M,Sortant (autre poste),,3717,332,33,Non élu
49048,Saint-Germain-de-Grantham,17,Centre-du-Québec,,,,0,M,Maire,Pinard,Gilles,M,Nouveau,,3717,539,33,Non élu
49048,Saint-Germain-de-Grantham,17,Centre-du-Québec,,,,0,M,Maire,Tessier,Nathacha,F,Sortant (autre poste),,3717,717,33,Élu
49048,Saint-Germain-de-Grantham,17,Centre-du-Québec,,1,,1,C,Conseiller,McAlden,Sarah,F,Nouveau,,3717,0,,Élu sans opposition
49048,Saint-Germain-de-Grantham,17,Centre-du-Québec,,2,,2,C,Conseiller,St-Martin,Chantal,F,Nouveau,,3717,0,,Élu sans opposition
49048,Saint-Germain-de-Grantham,17,Centre-du-Québec,,3,,3,C,Conseiller,Gauthier,Pierre,M,Nouveau,,3717,128,21,Non élu
49048,Saint-Germain-de-Grantham,17,Centre-du-Québec,,3,,3,C,Conseiller,Boislard,Patrice,M,Nouveau,,3717,132,21,Élu
49048,Saint-Germain-de-Grantham,17,Centre-du-Québec,,4,,4,C,Conseiller,Chaput,Denis,M,Nouveau,,3717,102,26,Non élu
49048,Saint-Germain-de-Grantham,17,Centre-du-Québec,,4,,4,C,Conseiller,Nault,Chantal,F,Nouveau,,3717,237,26,Élu
49048,Saint-Germain-de-Grantham,17,Centre-du-Québec,,5,,5,C,Conseiller,Picotin,Annie,F,Nouveau,,3717,121,7,Non élu
49048,Saint-Germain-de-Grantham,17,Centre-du-Québec,,5,,5,C,Conseiller,Gauthier,Stéphane,M,Sortant,,3717,225,7,Élu
49048,Saint-Germain-de-Grantham,17,Centre-du-Québec,,6,,6,C,Conseiller,Dore,Eric,M,Nouveau,,3717,134,6,Non élu
49048,Saint-Germain-de-Grantham,17,Centre-du-Québec,,6,,6,C,Conseiller,Proulx,Sylvain,M,Sortant,,3717,216,6,Élu
49058,Drummondville,17,Centre-du-Québec,,,,0,M,Maire,Cusson,Alexandre,M,Sortant,,,0,,Élu sans opposition
49058,Drummondville,17,Centre-du-Québec,,1,,1,C,Conseiller,Martin,Dominic,M,Nouveau,,,0,,Élu sans opposition
49058,Drummondville,17,Centre-du-Québec,,10,,10,C,Conseiller,Morato,Julian,M,Nouveau,,,222,2,Non élu
49058,Drummondville,17,Centre-du-Québec,,10,,10,C,Conseiller,Lacoste,Stéphanie,F,Sortant,,,525,2,Élu
49058,Drummondville,17,Centre-du-Québec,,11,,11,C,Conseiller,Pelletier,Daniel,M,Sortant,,,0,,Élu sans opposition
49058,Drummondville,17,Centre-du-Québec,,12,,12,C,Conseiller,Bernier,Cathy,F,Sortant,,,0,,Élu sans opposition
49058,Drummondville,17,Centre-du-Québec,,2,,2,C,Conseiller,Charest,Jean,M,Nouveau,,,0,,Élu sans opposition
49058,Drummondville,17,Centre-du-Québec,,3,,3,C,Conseiller,Lemaire,Marie-Josée,F,Nouveau,,,548,21,Non élu
49058,Drummondville,17,Centre-du-Québec,,3,,3,C,Conseiller,Lassonde,Catherine,F,Sortant,,,804,21,Élu
49058,Drummondville,17,Centre-du-Québec,,4,,4,C,Conseiller,D'Auteuil,Alain,M,Nouveau,,,367,11,Non élu
49058,Drummondville,17,Centre-du-Québec,,4,,4,C,Conseiller,Marquis,Isabelle,F,Sortant,,,551,11,Élu
49058,Drummondville,17,Centre-du-Québec,,5,,5,C,Conseiller,Husk,John,M,Sortant,,,0,,Élu sans opposition
49058,Drummondville,17,Centre-du-Québec,,6,,6,C,Conseiller,Poulin,Israël,M,Nouveau,,,753,12,Non élu
49058,Drummondville,17,Centre-du-Québec,,6,,6,C,Conseiller,Morales,William,M,Sortant,,,1002,12,Élu
49058,Drummondville,17,Centre-du-Québec,,7,,7,C,Conseiller,Gauthier,Yves,M,Nouveau,,,142,6,Non élu
49058,Drummondville,17,Centre-du-Québec,,7,,7,C,Conseiller,Martel,Alain,M,Sortant,,,906,6,Élu
49058,Drummondville,17,Centre-du-Québec,,8,,8,C,Conseiller,Grondin,Yves,M,Sortant,,,0,,Élu sans opposition
49058,Drummondville,17,Centre-du-Québec,,9,,9,C,Conseiller,Bellavance,Annick,F,Sortant,,,0,,Élu sans opposition
49070,Saint-Cyrille-de-Wendover,17,Centre-du-Québec,,,,0,M,Maire,Lafond,Daniel,M,Sortant,,3581,347,28,Non élu
49070,Saint-Cyrille-de-Wendover,17,Centre-du-Québec,,,,0,M,Maire,Provençal,Daniel,M,Nouveau,,3581,61,28,Non élu
49070,Saint-Cyrille-de-Wendover,17,Centre-du-Québec,,,,0,M,Maire,Laroche,Hélène,F,Sortant (autre poste),,3581,1128,28,Élu
