newspaper desert,status,province,municipality,CSD code.x,year,turnout,Last Name,Votes,Election Total Votes,number of candidates,Magniuted = # of votes separating first from second,Level,Hierarchical structure,CSD code.y,province_code
0,0,British Columbia,Vancouver,5915022,2005,32.61,Green,57796,130011,20,NA,4,Census subdivision,5915022,59
0,0,British Columbia,Vancouver,5915022,2008,31.08,Robertson,67598,124285,15,NA,4,Census subdivision,5915022,59
0,0,British Columbia,Vancouver,5915022,2008,31.08,Lander,48794,124285,15,NA,4,Census subdivision,5915022,59
0,0,British Columbia,Vancouver,5915022,2011,34.96,Robertson,77005,144823,12,NA,4,Census subdivision,5915022,59
0,0,British Columbia,Vancouver,5915022,2011,34.96,Anton,58152,144824,12,NA,4,Census subdivision,5915022,59
0,0,British Columbia,Vancouver,5915022,2014,43.4,Robertson,83529,181707,10,NA,4,Census subdivision,5915022,59
0,0,British Columbia,Vancouver,5915022,2014,43.4,Lapointe,73443,181707,10,NA,4,Census subdivision,5915022,59
0,-1,British Columbia,Vancouver,5915022,2018,39.36,Stewart,49705,176450,21,NA,4,Census subdivision,5915022,59
0,-2,British Columbia,Vancouver,5915022,2018,39.36,Sim,48748,176450,21,NA,4,Census subdivision,5915022,59
0,0,British Columbia,Surrey,5915004,2002,NA,McCallum,29518,54114,9,NA,4,Census subdivision,5915004,59
0,0,British Columbia,Surrey,5915004,2002,NA,Weisenberger,11176,54114,9,NA,4,Census subdivision,5915004,59
0,0,British Columbia,Surrey,5915004,2005,35.1,Watts,45981,83997,6,NA,4,Census subdivision,5915004,59
0,0,British Columbia,Surrey,5915004,2005,35.1,McCallum,35558,83997,6,NA,4,Census subdivision,5915004,59
0,0,British Columbia,Surrey,5915004,2008,24.11,Weisenberger,8465,59888,2,NA,4,Census subdivision,5915004,59
0,0,British Columbia,Surrey,5915004,2008,24.11,Watts,51423,59888,2,NA,4,Census subdivision,5915004,59
0,0,British Columbia,Surrey,5915004,2011,25.18,Watts,55826,69532,7,NA,4,Census subdivision,5915004,59
0,0,British Columbia,Surrey,5915004,2011,25.18,Inimgba,1183,69532,7,NA,4,Census subdivision,5915004,59
0,-1,British Columbia,Surrey,5915004,2014,32,Hepner,48622,100982,7,NA,4,Census subdivision,5915004,59
0,-1,British Columbia,Surrey,5915004,2014,32,McCallum,27233,100982,7,NA,4,Census subdivision,5915004,59
0,-1,British Columbia,Surrey,5915004,2018,32,McCallum,45564,110920,8,NA,4,Census subdivision,5915004,59
0,-1,British Columbia,Surrey,5915004,2018,32,Gill,28553,110920,8,NA,4,Census subdivision,5915004,59
0,0,British Columbia,Burnaby,5915025,2002,33.380000000000003,NA,NA,NA,3,NA,4,Census subdivision,5915025,59
0,0,British Columbia,Burnaby,5915025,2002,33.380000000000003,NA,NA,NA,3,NA,4,Census subdivision,5915025,59
0,0,British Columbia,Burnaby,5915025,2005,25.57,Corrigan,17662,NA,3,NA,4,Census subdivision,5915025,59
0,0,British Columbia,Burnaby,5915025,2005,25.57,Stewart,13952,NA,3,NA,4,Census subdivision,5915025,59
0,0,British Columbia,Burnaby,5915025,2008,23.49,Corrigan,20365,32727,2,NA,4,Census subdivision,5915025,59
0,0,British Columbia,Burnaby,5915025,2008,23.49,Chisholm,10110,32727,2,NA,4,Census subdivision,5915025,59
0,0,British Columbia,Burnaby,5915025,2011,22.5,Corrigan,25053,34035,4,NA,4,Census subdivision,5915025,59
0,0,British Columbia,Burnaby,5915025,2011,22.5,Tao,5450,34035,4,NA,4,Census subdivision,5915025,59
0,0,British Columbia,Burnaby,5915025,2014,27,Corrigan,28113,41494,6,NA,4,Census subdivision,5915025,59
0,0,British Columbia,Burnaby,5915025,2014,27,Hancott,8848,41494,6,NA,4,Census subdivision,5915025,59
0,-1,British Columbia,Burnaby,5915025,2018,33.46,Hurley,26260,49972,3,NA,4,Census subdivision,5915025,59
0,-1,British Columbia,Burnaby,5915025,2018,33.46,Corrigan,2178,49972,3,NA,4,Census subdivision,5915025,59
0,0,British Columbia,Richmond,NA,2002,33.65,Brodie,21847,NA,2,NA,4,Census subdivision,5915015,59
0,0,British Columbia,Richmond,NA,2002,33.65,Kronstein,3353,NA,2,NA,4,Census subdivision,5915015,59
0,0,British Columbia,Richmond,NA,2005,25.72,Brodie,21139,30051,2,NA,4,Census subdivision,5915015,59
0,0,British Columbia,Richmond,NA,2005,25.72,Wolfe,7165,30051,2,NA,4,Census subdivision,5915015,59
0,0,British Columbia,Richmond,NA,2008,22.1,Brodie,19694,27709,3,NA,4,Census subdivision,5915015,59
0,0,British Columbia,Richmond,NA,2008,22.1,Gerlach,5207,27709,3,NA,4,Census subdivision,5915015,59
0,0,British Columbia,Richmond,NA,2011,23.96,Brodie,20955,31126,2,NA,4,Census subdivision,5915015,59
0,0,British Columbia,Richmond,NA,2011,23.96,Lee,9054,31126,2,NA,4,Census subdivision,5915015,59
0,0,British Columbia,Richmond,NA,2014,32.4,Brodie,27149,40245,3,NA,4,Census subdivision,5915015,59
0,0,British Columbia,Richmond,NA,2014,32.4,Lee,10667,40245,3,NA,4,Census subdivision,5915015,59
0,-1,British Columbia,Richmond,NA,2018,36.86,Brodie,30452,48412,6,NA,4,Census subdivision,5915015,59
0,-1,British Columbia,Richmond,NA,2018,36.86,Sakata,7942,48412,6,NA,4,Census subdivision,5915015,59
0,0,British Columbia,Abottsford,NA,2005,34.21,Ferguson,12124,26657,5,NA,NA,NA,NA,NA
0,0,British Columbia,Abottsford,NA,2005,24.21,Reeves,10775,26657,5,NA,NA,NA,NA,NA
0,0,British Columbia,Abottsford,NA,2008,34.200000000000003,Peary,15186,27959,5,NA,NA,NA,NA,NA
0,0,British Columbia,Abottsford,NA,2008,34.200000000000003,Epp,7120,27959,5,NA,NA,NA,NA,NA
0,-1,British Columbia,Abottsford,NA,2011,39.24,Banman,13837,33303,5,NA,NA,NA,NA,NA
0,-1,British Columbia,Abottsford,NA,2011,39.24,Peary,12694,33303,5,NA,NA,NA,NA,NA
0,-2,British Columbia,Abottsford,NA,2014,37.19,Braun,16171,32259,2,NA,NA,NA,NA,NA
0,-2,British Columbia,Abottsford,NA,2014,37.19,Banman,15594,32259,2,NA,NA,NA,NA,NA
0,-2,British Columbia,Abottsford,NA,2018,35.369999999999997,Braun,18732,33182,6,NA,NA,NA,NA,NA
0,-2,British Columbia,Abottsford,NA,2018,35.369999999999997,Nyvall,6159,33182,6,NA,NA,NA,NA,NA
0,0,British Columbia,Coquitlam,5915034,2002,27.7,NA,NA,15969,NA,NA,4,Census subdivision,5915034,59
0,0,British Columbia,Coquitlam,5915034,2002,27.7,NA,NA,15969,NA,NA,4,Census subdivision,5915034,59
0,0,British Columbia,Coquitlam,5915034,2005,23.32,NA,NA,18061,3,NA,4,Census subdivision,5915034,59
0,0,British Columbia,Coquitlam,5915034,2005,23.32,NA,NA,18061,3,NA,4,Census subdivision,5915034,59
0,0,British Columbia,Coquitlam,5915034,2008,21.46,Stewart,8807,16898,3,NA,4,Census subdivision,5915034,59
0,0,British Columbia,Coquitlam,5915034,2008,21.46,Wilson,7358,16898,3,NA,4,Census subdivision,5915034,59
0,0,British Columbia,Coquitlam,5915034,2011,21.68,Stewart,10050,17961,2,NA,4,Census subdivision,5915034,59
0,0,British Columbia,Coquitlam,5915034,2011,21.68,Lynch,7591,17961,2,NA,4,Census subdivision,5915034,59
0,0,British Columbia,Coquitlam,5915034,2014,26.01,Stewart,15002,21987,3,NA,4,Census subdivision,5915034,59
0,0,British Columbia,Coquitlam,5915034,2014,26.01,Sekora,5705,21987,3,NA,4,Census subdivision,5915034,59
0,0,British Columbia,Coquitlam,5915034,2018,26.06,Stewart,16462,23967,3,NA,4,Census subdivision,5915034,59
0,0,British Columbia,Coquitlam,5915034,2018,26.06,Gamar,6373,23967,3,NA,4,Census subdivision,5915034,59
0,0,British Columbia,Kelowna,5935010,2002,NA,Gary,14130,NA,2,NA,4,Census subdivision,5935010,59
