MUNICIPALITY NAME,NAME OF PERSON ELECTED - LAST NAME,NAME OF PERSON ELECTED - FIRST NAME,"NAME OF
OFFICE",NUMBER OF VOTES CAST FOR THE CANDIDATE,NUMBER OF VOTES CAST FOR THE OFFICE,ELECTED or ACCLAIMED?,DID CANDIDATE SERVE ON 2010-2014 COUNCIL? (YES / NO)
Calvin Tp,O'CONNOR,GREG,LOCAL COUNCILLOR,141,790,ELECTED,YES
Carling Tp,KONOVAL,MIKE,MAYOR,,,ACCLAIMED,YES
Carling Tp,CROOKSHANK,STEVEN,LOCAL COUNCILLOR,648,"1,335",ELECTED,NO
Carling Tp,GILBERT,TERRY,LOCAL COUNCILLOR,786,"1,335",ELECTED,NO
Carling Tp,HARRISON,GORD,LOCAL COUNCILLOR,795,"1,335",ELECTED,YES
Carling Tp,MURPHY,SUSAN,LOCAL COUNCILLOR,841,"1,335",ELECTED,YES
Casey Tp,LABONTE,GUY,REEVE,,,ACCLAIMED,YES
Casey Tp,ROBILLARD,MARC,LOCAL COUNCILLOR,,,ACCLAIMED,YES
Casey Tp,FORTIN,JACQUES,LOCAL COUNCILLOR,,,ACCLAIMED,YES
Casey Tp,LITTLE,JANET,LOCAL COUNCILLOR,,,ACCLAIMED,YES
Casey Tp,BOUCHER,SUZANNE,LOCAL COUNCILLOR,,,ACCLAIMED,YES
Central Manitoulin M,STEPHENS,RICHARD,MAYOR,732,"1,448",ELECTED,NO
Central Manitoulin M,MACDONALD,PAT,LOCAL COUNCILLOR,214,"1,448",ELECTED,YES
Central Manitoulin M,STEPHENS,DEREK,LOCAL COUNCILLOR,149,"1,448",ELECTED,YES
Central Manitoulin M,BARAN,ALEX,LOCAL COUNCILLOR,427,"1,448",ELECTED,NO
Central Manitoulin M,SCOTT,DALE,LOCAL COUNCILLOR,472,"1,448",ELECTED,NO
Central Manitoulin M,FARQUHAR,LINDA,LOCAL COUNCILLOR,184,"1,448",ELECTED,NO
Central Manitoulin M,TAYLOR,TED,LOCAL COUNCILLOR,169,"1,448",ELECTED,YES
Chamberlain Tp,BLACKBURN,SHIRLEY,LOCAL COUNCILLOR,,,ACCLAIMED,YES
Chamberlain Tp,CODD,CHARLIE,LOCAL COUNCILLOR,,,ACCLAIMED,NO
Chamberlain Tp,HAGER,CAREY,LOCAL COUNCILLOR,,,ACCLAIMED,NO
Chamberlain Tp,SCHENK,DEBRA,LOCAL COUNCILLOR,,,ACCLAIMED,NO
Chapleau Tp,LEVESQUE,MICHAEL,MAYOR,557,"1,058",ELECTED,NO
Chapleau Tp,NOEL,GISELLE,LOCAL COUNCILLOR,785,"1,058",ELECTED,NO
Chapleau Tp,LINDQUIST,KEVIN,LOCAL COUNCILLOR,707,"1,058",ELECTED,YES
Chapleau Tp,TREMBLAY,GUILLIAME,LOCAL COUNCILLOR,706,"1,058",ELECTED,NO
Chapleau Tp,BERNIER,GERARD,LOCAL COUNCILLOR,618,"1,058",ELECTED,NO
Charlton-Dack M,VEERMAN,DEBORAH,LOCAL COUNCILLOR,,,ACCLAIMED,YES
Charlton-Dack M,PAWSON,WAYNE,LOCAL COUNCILLOR,,,ACCLAIMED,YES
Charlton-Dack M,BOND,MERRILL,REEVE,,,ACCLAIMED,YES
Charlton-Dack M,CORLEY,CHAUNCEY,LOCAL COUNCILLOR,,,ACCLAIMED,YES
Charlton-Dack M,YANTHA,CLEMENT,LOCAL COUNCILLOR,,,ACCLAIMED,NO
Chisholm Tp,JOBIN,LEO,MAYOR,299,486,ELECTED,YES
Chisholm Tp,HODGINS,DAVID,LOCAL COUNCILLOR,236,"1,641",ELECTED,YES
Chisholm Tp,ROSS,WALTER,LOCAL COUNCILLOR,216,"1,641",ELECTED,YES
Chisholm Tp,JULL,CHRIS,LOCAL COUNCILLOR,204,"1,641",ELECTED,NO
Chisholm Tp,SCARFONE,NUNZIO,LOCAL COUNCILLOR,204,"1,641",ELECTED,NO
Cobalt T,BIGELOW,GARRY,LOCAL COUNCILLOR,154,"2,007",ELECTED,YES
Cobalt T,HARRISON,MIKE,LOCAL COUNCILLOR,196,"2,007",ELECTED,YES
Cobalt T,NIELSEN,SUE,LOCAL COUNCILLOR,274,"2,007",ELECTED,YES
Cobalt T,OTHMER,GEORGE,LOCAL COUNCILLOR,241,"2,007",ELECTED,YES
Cobalt T,SCHWARTZ,ROCHELLE,LOCAL COUNCILLOR,165,"2,007",ELECTED,NO
Cobalt T,WUEST,PERRY,LOCAL COUNCILLOR,212,"2,007",ELECTED,NO
Cobalt T,SARTORETTO,TINA,MAYOR,,,ACCLAIMED,YES
Cochrane T,POLITIS,PETER,MAYOR,786,"2,003",ELECTED,YES
Cochrane T,BELISLE,RENELLE,LOCAL COUNCILLOR,"1,135","9,139",ELECTED,NO
Cochrane T,BOURASSA,CLAUDE,LOCAL COUNCILLOR,961,"9,139",ELECTED,NO
Cochrane T,OWENS,DARRYL,LOCAL COUNCILLOR,823,"9,139",ELECTED,YES
Cochrane T,PREVOST,DEVON,LOCAL COUNCILLOR,"1,205","9,139",ELECTED,NO
Cochrane T,SISCO,FRANK A ,LOCAL COUNCILLOR,"1,324","9,139",ELECTED,NO
Cochrane T,SKIDMORE-FOX,JANE,LOCAL COUNCILLOR,970,"9,139",ELECTED,YES
Cockburn Island Tp,JONES,BRENDA,MAYOR,,,ACCLAIMED,NO
Cockburn Island Tp,BROWN,ROBERT,LOCAL COUNCILLOR,77,,ELECTED,NO
Cockburn Island Tp,CRESSMAN,GLEN,LOCAL COUNCILLOR,79,,ELECTED,NO
Cockburn Island Tp,PAPINEAU,EVAN,LOCAL COUNCILLOR,54,,ELECTED,YES
Cockburn Island Tp,ROGERS,DON,LOCAL COUNCILLOR,89,,ELECTED,YES
Coleman Tp,CLEROUX,DAN,MAYOR,,,ACCLAIMED,YES
Coleman Tp,COTE,SUSAN,LOCAL COUNCILLOR,179,328,ELECTED,YES
Coleman Tp,LAFFRENIER,KEN,LOCAL COUNCILLOR,175,328,ELECTED,NO
Coleman Tp,MARCELLA,CATHY,LOCAL COUNCILLOR,158,328,ELECTED,YES
Coleman Tp,PERRY,LOIS,LOCAL COUNCILLOR,207,328,ELECTED,YES
Dubreuilville Tp,LACROIX,ALAIN,MAYOR,207,303,ELECTED,NO
Dubreuilville Tp,BERGERON,MARTIN,LOCAL COUNCILLOR,175,303,ELECTED,NO
Dubreuilville Tp,MOORE,LÉANDRE,LOCAL COUNCILLOR,207,303,ELECTED,NO
Dubreuilville Tp,NANTEL,BEVERLY,LOCAL COUNCILLOR,205,303,ELECTED,YES
Dubreuilville Tp,PERTH,HÉLÈNE,LOCAL COUNCILLOR,210,303,ELECTED,NO
East Ferris M,VREBOSCH,BILL,MAYOR,,,ACCLAIMED,YES
East Ferris M,ROCHEFORT,PAULINE,LOCAL COUNCILLOR,"1,045",,ELECTED,NO
East Ferris M,VOYER,MICHEL,LOCAL COUNCILLOR,717,,ELECTED,NO
East Ferris M,CHAMPAGNE,RICK,LOCAL COUNCILLOR,687,,ELECTED,YES
East Ferris M,KELLY,TERRY,LOCAL COUNCILLOR,629,,ELECTED,YES
Elliot Lake C,MARCHISELLA,DAN,MAYOR,"2,028","5,107",ELECTED,NO
Elliot Lake C,CYR,LUC,LOCAL COUNCILLOR,"3,634","25,481",ELECTED,NO
Elliot Lake C,NYKYFORAK,CONNIE,LOCAL COUNCILLOR,"2,433","25,481",ELECTED,NO
Elliot Lake C,MARTIN SCOTT,CANDACE,LOCAL COUNCILLOR,"2,157","25,481",ELECTED,NO
Elliot Lake C,MANN,NORMAN,LOCAL COUNCILLOR,"1,777","25,481",ELECTED,YES
Elliot Lake C,VANROON,TAMMY,LOCAL COUNCILLOR,"1,372","25,481",ELECTED,NO
Elliot Lake C,REINHARDT,SCOT,LOCAL COUNCILLOR,"1,327","25,481",ELECTED,NO
Englehart T,WALLACE,NINA,MAYOR,249,469,ELECTED,YES
Englehart T,BRASSARD,PAULINE,LOCAL COUNCILLOR,,,ACCLAIMED,YES
Englehart T,DELEEUW,JASON,LOCAL COUNCILLOR,,,ACCLAIMED,YES
Englehart T,METSON,DOUGLAS,LOCAL COUNCILLOR,,,ACCLAIMED,YES
Englehart T,WILSON,TWYLA I.,LOCAL COUNCILLOR,,,ACCLAIMED,YES
Englehart T,BUREY,PAUL,LOCAL COUNCILLOR,,,ACCLAIMED,NO
Englehart T,EMRICK,JOHN ROBERT,LOCAL COUNCILLOR,,,ACCLAIMED,NO
Espanola T,PICHE,RON,MAYOR,"1,187","2,434",ELECTED,NO
Espanola T,FOSTER,BILL,LOCAL COUNCILLOR,"1,487","11,945",ELECTED,NO
Espanola T,YOCOM,ROBERT,LOCAL COUNCILLOR,"1,391","11,945",ELECTED,NO
Espanola T,MEIKLEHAM,STEWART,LOCAL COUNCILLOR,"1,224","11,945",ELECTED,YES
Espanola T,DUPLESSIS,KEN,LOCAL COUNCILLOR,"1,145","11,945",ELECTED,NO
Espanola T,DUPLESSIS,RON,LOCAL COUNCILLOR,967,"11,945",ELECTED,NO
Espanola T,DUFOUR,RAY,LOCAL COUNCILLOR,910,"11,945",ELECTED,NO
Evanturel Tp,MUNDLE,DEREK,REEVE,,,ACCLAIMED,YES
Evanturel Tp,BEACHEY,BARBARA,LOCAL COUNCILLOR,84,112,ELECTED,YES
Evanturel Tp,GRAVEL,HENRI,LOCAL COUNCILLOR,71,112,ELECTED,YES
Evanturel Tp,SIMMENS,JOHN,LOCAL COUNCILLOR,78,112,ELECTED,YES
Evanturel Tp,STRATTON,WAYNE,LOCAL COUNCILLOR,71,112,ELECTED,NO
Fauquier-Strickland Tp,TREMBLAY,MADELEINE,MAYOR,,,ACCLAIMED,YES
Fauquier-Strickland Tp,ALBERT,SYLVIE,LOCAL COUNCILLOR,,,ACCLAIMED,YES
Fauquier-Strickland Tp,DUFOUR,DANIEL,LOCAL COUNCILLOR,,,ACCLAIMED,NO
Fauquier-Strickland Tp,KUCHERAN,ANNE LYNN,LOCAL COUNCILLOR,,,ACCLAIMED,NO
French River M,BOUFFARD,CLAUDE,MAYOR,"1,301","2,403",ELECTED,YES
French River M,GARBUTT,RONALD,LOCAL COUNCILLOR,242,395,ELECTED,YES
French River M,SHARP,DENNY,LOCAL COUNCILLOR,,,ACCLAIMED,YES
French River M,PAGEAU,GISELE,LOCAL COUNCILLOR,300,533,ELECTED,NO
French River M,WENBORNE,DEAN,LOCAL COUNCILLOR,111,199,ELECTED,NO
French River M,MITCHELL,TAMMY,LOCAL COUNCILLOR,241,345,ELECTED,NO
French River M,BIGRAS,MICHEL,LOCAL COUNCILLOR,270,458,ELECTED,YES
Gauthier Tp,JOHNSON,WILLIAM,REEVE,,,ACCLAIMED,YES
Gauthier Tp,GREEN,LARRY,LOCAL COUNCILLOR,49,69,ELECTED,NO
Gauthier Tp,BOWERS,KELLY,LOCAL COUNCILLOR,40,69,ELECTED,NO
Gauthier Tp,YEE,SHERRY,LOCAL COUNCILLOR,40,69,ELECTED,YES
Gauthier Tp,YEE,STEVE,LOCAL COUNCILLOR,39,69,ELECTED,YES
Gordon-Barrie Island M,HAYDEN,LEE,MAYOR,221,362,ELECTED,NO
Gordon-Barrie Island M,PATTERSON,PERRY,LOCAL COUNCILLOR,267,,ELECTED,NO
Gordon-Barrie Island M,BAKER,BILL,LOCAL COUNCILLOR,270,,ELECTED,NO
Gordon-Barrie Island M,CULGIN,EDWARD,LOCAL COUNCILLOR,275,,ELECTED,NO
Gordon-Barrie Island M,NOBLE,BETTY,LOCAL COUNCILLOR,244,,ELECTED,YES
Gore Bay T,LANE,RON,MAYOR,,,ACCLAIMED,YES
Gore Bay T,CLARK,JACK,LOCAL COUNCILLOR,,,ACCLAIMED,YES
Gore Bay T,BLODGETT,KEN,LOCAL COUNCILLOR,,,ACCLAIMED,YES
Gore Bay T,BAILEY,YVONNE,LOCAL COUNCILLOR,,,ACCLAIMED,YES
Gore Bay T,OSBORNE,DAN,LOCAL COUNCILLOR,,,ACCLAIMED,NO
Gore Bay T,WOESTENENK,KEVIN,LOCAL COUNCILLOR,,,ACCLAIMED,NO
Gore Bay T,EIRIKSON,LARRY,LOCAL COUNCILLOR,,,ACCLAIMED,NO
Greater Sudbury C,BIGGER,BRIAN,MAYOR,"27,303","59,372",ELECTED,NO
Greater Sudbury C,SIGNORETTI,MARK,LOCAL COUNCILLOR,"1,780","4,656",ELECTED,NO
Greater Sudbury C,VAGNINI,MICHAEL,LOCAL COUNCILLOR,"2,752","5,651",ELECTED,NO
Greater Sudbury C,MONTPELLIER,GERRY,LOCAL COUNCILLOR,"1,884","4,594",ELECTED,NO
Greater Sudbury C,DUTRISAC,EVELYN,LOCAL COUNCILLOR,"2,112","4,519",ELECTED,YES
Greater Sudbury C,KIRWAN ,ROBERT,LOCAL COUNCILLOR,"1,457","4,330",ELECTED,NO
Greater Sudbury C,RENE,LAPIERRE,LOCAL COUNCILLOR,"1,933","5,295",ELECTED,NO
Greater Sudbury C,JAKUBO,MIKE,LOCAL COUNCILLOR,"2,486","5,012",ELECTED,NO
Greater Sudbury C,SIZER,AL,LOCAL COUNCILLOR,"1,973","4,512",ELECTED,YES
Greater Sudbury C,MCINTOSH,DEB,LOCAL COUNCILLOR,"2,000","5,775",ELECTED,NO
Greater Sudbury C,CORMIER,FERN,LOCAL COUNCILLOR,"2,085","5,542",ELECTED,NO
Greater Sudbury C,REYNOLDS,LYNNE,LOCAL COUNCILLOR,"2,194","5,509",ELECTED,NO
Greater Sudbury C,LANDRY-ALTMANN,JOSCELYNE,LOCAL COUNCILLOR,"2,179","4,277",ELECTED,YES
Harley Tp,ARCHAMBAULT,PAULINE,REEVE,,,ACCLAIMED,YES
Harley Tp,BILOW,AULDIN,LOCAL COUNCILLOR,77,124,ELECTED,YES
Harley Tp,FIELDER,CLIFFORD,LOCAL COUNCILLOR,95,124,ELECTED,YES
Harley Tp,GOSSELIN,MARC,LOCAL COUNCILLOR,84,124,ELECTED,YES
Harley Tp,MCNAUGHTON,RICHARD,LOCAL COUNCILLOR,82,124,ELECTED,YES
Harris Tp,DESPRES,CHANTAL,REEVE,,,ACCLAIMED,NO
Harris Tp,LICOP,AL,LOCAL COUNCILLOR,,,ACCLAIMED,YES
Harris Tp,SUTTON,RON,LOCAL COUNCILLOR,,,ACCLAIMED,YES
Harris Tp,MARTIN,JUDIE,LOCAL COUNCILLOR,,,ACCLAIMED,YES
Harris Tp,PRESSEAULT,GENEVIEVE,LOCAL COUNCILLOR,,,ACCLAIMED,NO
Hearst T,SIGOUIN,ROGER,MAYOR,,,ACCLAIMED,YES
Hearst T,GAGNON,CLAUDE,LOCAL COUNCILLOR,,,ACCLAIMED,NO
Hearst T,LEMAIRE,DANIEL,LOCAL COUNCILLOR,,,ACCLAIMED,YES
Hearst T,MORIN,CONRAD,LOCAL COUNCILLOR,,,ACCLAIMED,YES
Hearst T,PROULX,GÉRARD,LOCAL COUNCILLOR,,,ACCLAIMED,YES
Hearst T,RHÉAUME,ANDRÉ,LOCAL COUNCILLOR,,,ACCLAIMED,YES
Hearst T,VERMETTE,RAYMOND,LOCAL COUNCILLOR,,,ACCLAIMED,NO
Hilliard Tp,CARSON,MORGAN,REEVE,,,ACCLAIMED,YES
Hilliard Tp,GERRARD,KAREN,LOCAL COUNCILLOR,,,ACCLAIMED,NO
Hilliard Tp,BROCHU,MARCEL,LOCAL COUNCILLOR,,,ACCLAIMED,NO
Hilliard Tp,GODDARD,DOUG,LOCAL COUNCILLOR,,,ACCLAIMED,NO
Hilliard Tp,CARLETON-MOORE,EVELYN,LOCAL COUNCILLOR,,,ACCLAIMED,NO
Hilton Beach V,HOPE,ROBERT,MAYOR,84,131,ELECTED,YES
Hilton Beach V,DUMA,GREGORY,LOCAL COUNCILLOR,78,131,ELECTED,NO
Hilton Beach V,MOORE,JULIE,LOCAL COUNCILLOR,87,131,ELECTED,NO
Hilton Beach V,DAVEY,PAT,LOCAL COUNCILLOR,72,131,ELECTED,NO
Hilton Beach V,WELLS,JOHN,LOCAL COUNCILLOR,99,131,ELECTED,NO
Hilton Tp,WOOD,ROD,MAYOR,,,ACCLAIMED,YES
Hilton Tp,HOLT,DIANNE,LOCAL COUNCILLOR,,,ACCLAIMED,YES
Hilton Tp,LEASK,DAVE,LOCAL COUNCILLOR,,,ACCLAIMED,YES
Hilton Tp,GARSIDE,PAT,LOCAL COUNCILLOR,,,ACCLAIMED,YES
Hilton Tp,JERRARD,ROBERT,LOCAL COUNCILLOR,,,ACCLAIMED,YES
Hornepayne Tp,FORSTER,MORLEY,MAYOR,,,ACCLAIMED,YES
Hornepayne Tp,LATOSKI,GINGER,LOCAL COUNCILLOR,,,ACCLAIMED,NO
Hornepayne Tp,LIEBIGT,WILLIE,LOCAL COUNCILLOR,,,ACCLAIMED,YES
Hornepayne Tp,STEFANIC,DRAGO,LOCAL COUNCILLOR,,,ACCLAIMED,NO
Hornepayne Tp,STEWART,PAUL,LOCAL COUNCILLOR,,,ACCLAIMED,YES
Hudson Tp,CRAIG,LARRY,REEVE,,,ACCLAIMED,YES
Hudson Tp,MORROW,DAN,LOCAL COUNCILLOR,107,139,ELECTED,YES
Hudson Tp,SEED,CRAIG,LOCAL COUNCILLOR,109,139,ELECTED,YES
Hudson Tp,MCNAIR,BRYAN,LOCAL COUNCILLOR,113,139,ELECTED,YES
Hudson Tp,WOODS,MARTY,LOCAL COUNCILLOR,115,139,ELECTED,NO
Huron Shores M,REEVES,L.C. (GIL),MAYOR,348,581,ELECTED,YES
Huron Shores M,MACKINNON ,BLAIR,LOCAL COUNCILLOR,,,ACCLAIMED,NO
Huron Shores M,WALSH,DARLENE,LOCAL COUNCILLOR,,,ACCLAIMED,NO
Huron Shores M,JONES-SCISSONS,NANCY,LOCAL COUNCILLOR,,,ACCLAIMED,NO
Huron Shores M,KIRBY,DEBORA,LOCAL COUNCILLOR,,,ACCLAIMED,YES
Huron Shores M,ARMSTRONG,JANE,LOCAL COUNCILLOR,113,253,ELECTED,YES
Huron Shores M,WEDGWOOD,DALE,LOCAL COUNCILLOR,144,253,ELECTED,YES
Huron Shores M,BILODEAU,GEORGES,LOCAL COUNCILLOR,,,ACCLAIMED,YES
Huron Shores M,CAMPBELL,GORDON,LOCAL COUNCILLOR,,,ACCLAIMED,YES
Iroquois Falls T,SHEA,MICHAEL,MAYOR,765,"1,952",ELECTED,YES
Iroquois Falls T,GIGUERE,STEPHANIE,LOCAL COUNCILLOR,"1,211","1,952",ELECTED,NO
Iroquois Falls T,DELAURIER,TORY,LOCAL COUNCILLOR,"1,141","1,952",ELECTED,YES
Iroquois Falls T,KENNEDY,COLIN,LOCAL COUNCILLOR,"1,126","1,952",ELECTED,NO
Iroquois Falls T,BOUCHER,TERRY,LOCAL COUNCILLOR,932,"1,952",ELECTED,YES
Iroquois Falls T,PURDON,BETTY LOU,LOCAL COUNCILLOR,901,"1,952",ELECTED,NO
Iroquois Falls T,MADDEN,JEFF,LOCAL COUNCILLOR,719,"1,952",ELECTED,NO
James Tp,CORMIER,PAM,LOCAL COUNCILLOR,99,602,ELECTED,NO
James Tp,MACDOWALL,JANET,LOCAL COUNCILLOR,140,602,ELECTED,YES
James Tp,MCSHANE,BRUCE,LOCAL COUNCILLOR,138,602,ELECTED,YES
James Tp,MULLIN,DAVID,LOCAL COUNCILLOR,141,602,ELECTED,YES
James Tp,FISET,TERRY,REEVE,,,ACCLAIMED,YES
Jocelyn Tp,HENDERSON,MARK,MAYOR,,,ACCLAIMED,YES
Jocelyn Tp,CALLAHAN,JANET,LOCAL COUNCILLOR,,,ACCLAIMED,YES
Jocelyn Tp,LUTES,BRIAN,LOCAL COUNCILLOR,,,ACCLAIMED,YES
Jocelyn Tp,WARD,KEN,LOCAL COUNCILLOR,,,ACCLAIMED,YES
Jocelyn Tp,WALLACE,CHES,LOCAL COUNCILLOR,,,ACCLAIMED,YES
Johnson Tp,HOPKINS,MARLEE,LOCAL COUNCILLOR,162,763,ELECTED,YES
Johnson Tp,KERN,JASON,LOCAL COUNCILLOR,137,763,ELECTED,NO
Johnson Tp,ROBINSON,LORNE,LOCAL COUNCILLOR,186,763,ELECTED,NO
Johnson Tp,ROSS,CAMERON,LOCAL COUNCILLOR,179,763,ELECTED,NO
Johnson Tp,HICKS,TED,MAYOR,,,ACCLAIMED,YES
Joly Tp,BAKER,BRUCE,MAYOR,165,317,ELECTED,YES
Joly Tp,BARNES,BETTY,LOCAL COUNCILLOR,190,317,ELECTED,YES
Joly Tp,BROWN,BUDD,LOCAL COUNCILLOR,169,317,ELECTED,NO
Joly Tp,MCCABE,BRIAN,LOCAL COUNCILLOR,142,317,ELECTED,NO
Joly Tp,NICHOLSON,CHRIS,LOCAL COUNCILLOR,153,317,ELECTED,NO
Kapuskasing T,SPACEK,ALAN,MAYOR,,,ACCLAIMED,YES
Kapuskasing T,CREDGER,MARTIN,LOCAL COUNCILLOR,"1,194",,ELECTED,YES
Kapuskasing T,DINNISSEN,MARTIN,LOCAL COUNCILLOR,"1,055",,ELECTED,YES
Kapuskasing T,GODARD,AUREL,LOCAL COUNCILLOR,890,,ELECTED,NO
Kapuskasing T,GUILLEMETTE,LAURIER,LOCAL COUNCILLOR,"1,368",,ELECTED,YES
Kapuskasing T,LAFLEUR,RICHARD,LOCAL COUNCILLOR,920,,ELECTED,NO
Kapuskasing T,PLOURDE,DAVID,LOCAL COUNCILLOR,"1,294",,ELECTED,YES
Kearney T,THRALE,LANCE,MAYOR,647,"1,195",ELECTED,NO
Kearney T,BALL,KEN,LOCAL COUNCILLOR,563,"1,195",ELECTED,YES
Kearney T,BALLANTYNE,CAROL,LOCAL COUNCILLOR,503,"1,195",ELECTED,NO
Kearney T,PATTON,RON,LOCAL COUNCILLOR,598,"1,195",ELECTED,NO
Kearney T,PHILIP,CHERYL,LOCAL COUNCILLOR,489,"1,195",ELECTED,NO
Kearney T,WILLS,YVONNE,LOCAL COUNCILLOR,680,"1,195",ELECTED,YES
Kearney T,ZIRALDO,PAUL,LOCAL COUNCILLOR,555,"1,195",ELECTED,NO
Kerns Tp,PHILLIPS,TERRY,REEVE,,,ACCLAIMED,YES
Kerns Tp,SEYMOUR,CARTER,LOCAL COUNCILLOR,,,ACCLAIMED,YES
Kerns Tp,AITCHISON,STEPHEN,LOCAL COUNCILLOR,,,ACCLAIMED,YES
Kerns Tp,JIBB,DENNIS,LOCAL COUNCILLOR,,,ACCLAIMED,YES
Kerns Tp,LENOVER,MARK,LOCAL COUNCILLOR,,,ACCLAIMED,YES
Killarney M,ROOK,GINNY,MAYOR,443,801,ELECTED,YES
Killarney M,BURANT,DEBBIE,LOCAL COUNCILLOR,330,"1,169",ELECTED,NO
Killarney M,LEWIS,EILEEN,LOCAL COUNCILLOR,300,"1,169",ELECTED,NO
Killarney M,WIRTZ,NANCY,LOCAL COUNCILLOR,333,"1,169",ELECTED,NO
Killarney M,PAQUETTE,PIERRE,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,NO
Killarney M,ROOK,JIM,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,NO
Kirkland Lake T,ANTONIAZZI,TONY,MAYOR,"1,621","3,185",ELECTED,YES
Kirkland Lake T,KIELY,PATRICK,LOCAL COUNCILLOR,"1,530","3,229",ELECTED,NO
Kirkland Lake T,BARKER,THOMAS G.,LOCAL COUNCILLOR,"1,505","3,229",ELECTED,YES
Kirkland Lake T,MORGAN,TODD,LOCAL COUNCILLOR,"1,357","3,229",ELECTED,YES
Kirkland Lake T,ROMAN,JIM,LOCAL COUNCILLOR,"1,323","3,229",ELECTED,NO
Kirkland Lake T,CHAMAILLARD,JEAN-GUY,LOCAL COUNCILLOR,"1,313","3,229",ELECTED,YES
Kirkland Lake T,MINO,NORM,LOCAL COUNCILLOR,"1,192","3,229",ELECTED,YES
Laird Tp,BEITZ,RICHARD,MAYOR,279,445,ELECTED,YES
Laird Tp,LAPISH,ED,LOCAL COUNCILLOR,,,ELECTED,NO
Laird Tp,JUNOR,WAYNE,LOCAL COUNCILLOR,,,ELECTED,YES
Laird Tp,RYDALL,TODD,LOCAL COUNCILLOR,,,ELECTED,YES
Laird Tp,TURCO,FRANK,LOCAL COUNCILLOR,,,ELECTED,NO
Larder Lake Tp,CUNNINGTON,GARY,MAYOR,248,380,ELECTED,NO
Larder Lake Tp,BOUGIE,KATHLEEN,LOCAL COUNCILLOR,274,380,ELECTED,NO
Larder Lake Tp,MCGUIRE,TOM,LOCAL COUNCILLOR,272,380,ELECTED,NO
Larder Lake Tp,MINOR,MICHAEL,LOCAL COUNCILLOR,225,380,ELECTED,YES
Larder Lake Tp,STEVENS,JIM,LOCAL COUNCILLOR,210,380,ELECTED,NO
Latchford T,LEFEBVRE,GEORGE,MAYOR,182,269,ELECTED,YES
Latchford T,CULL,THEO,LOCAL COUNCILLOR,219,269,ELECTED,YES
Latchford T,LIVINGSTON,PERRY,LOCAL COUNCILLOR,217,269,ELECTED,NO
Latchford T,CARTNER,JO-ANNE,LOCAL COUNCILLOR,210,269,ELECTED,YES
Latchford T,BROOKS,MIKE,LOCAL COUNCILLOR,196,269,ELECTED,NO
Latchford T,GREEN,SCOTT,LOCAL COUNCILLOR,196,269,ELECTED,YES
Latchford T,LEPAGE,TRUDY,LOCAL COUNCILLOR,194,269,ELECTED,NO
Macdonald Meredith et al Tp,WATSON,LYNN,MAYOR,326,602,ELECTED,YES
Macdonald Meredith et al Tp,BAILEY,SHELLY,LOCAL COUNCILLOR,456,602,ELECTED,YES
Macdonald Meredith et al Tp,BROCKELBANK,PARKER,LOCAL COUNCILLOR,381,602,ELECTED,NO
Macdonald Meredith et al Tp,ORCHARD,LYNN,LOCAL COUNCILLOR,380,602,ELECTED,YES
Macdonald Meredith et al Tp,ROBBINS,JEAN,LOCAL COUNCILLOR,374,602,ELECTED,YES
Machar Tp,CARLETON,LYNDA,MAYOR,657,862,ELECTED,NO
Machar Tp,MCLAREN,RON,LOCAL COUNCILLOR,657,862,ELECTED,YES
Machar Tp,FLOWERS,BLAIR,LOCAL COUNCILLOR,587,862,ELECTED,NO
Machar Tp,PINKERTON,HARVEY,LOCAL COUNCILLOR,398,862,ELECTED,NO
Machar Tp,WOOD,BART,LOCAL COUNCILLOR,342,862,ELECTED,NO
Magnetawan M,DUNNETT,SAM,MAYOR,,,ACCLAIMED,YES
Magnetawan M,BRUNTON,TIM,LOCAL COUNCILLOR,754,"1,290",ELECTED,NO
Magnetawan M,CROSSMAN,JACK,LOCAL COUNCILLOR,575,"1,290",ELECTED,YES
Magnetawan M,GRAY,CHARLIE,LOCAL COUNCILLOR,515,"1,290",ELECTED,YES
Magnetawan M,HETHERINGTON,JOHN,LOCAL COUNCILLOR,712,"1,290",ELECTED,NO
Markstay-Warren M,SALONIN,STEPHEN (SAL),MAYOR,633,"1,192",ELECTED,YES
Markstay-Warren M,AMYOTTE,ROBERT (BOB),LOCAL COUNCILLOR,740,"1,192",ELECTED,NO
Markstay-Warren M,HUNT,GREGORY (GREG),LOCAL COUNCILLOR,524,"1,192",ELECTED,NO
Markstay-Warren M,GAUTHIER,MONIQUE,LOCAL COUNCILLOR,466,"1,192",ELECTED,NO
Markstay-Warren M,WHYNOTT,NED,LOCAL COUNCILLOR,423,"1,192",ELECTED,NO
Matachewan Tp,DRUMMOND,CHERYL,REEVE,132,194,ELECTED,NO
Matachewan Tp,BISSON,JOSEPH,LOCAL COUNCILLOR,122,194,ELECTED,YES
Matachewan Tp,DUBE,GUY,LOCAL COUNCILLOR,122,194,ELECTED,YES
Matachewan Tp,GAUTHIER,KIM,LOCAL COUNCILLOR,74,194,ELECTED,NO
Matachewan Tp,GILBERT,DIANNE,LOCAL COUNCILLOR,93,194,ELECTED,NO
